ax,ay,az,gx,gy,gz
0.513916,0.010986,0.824463,-71.18988,-21.01898,35.346985
0.494385,-0.004883,0.826416,-70.152283,-18.043518,36.956787
0.4729,-0.017822,0.821289,-69.419861,-17.379761,38.490295
0.475098,-0.042969,0.823242,-68.92395,-17.066956,39.421082
0.472168,-0.068115,0.828613,-68.17627,-15.632628,40.763851
0.447266,-0.092285,0.833984,-67.504883,-12.626647,42.602535
0.423584,-0.133301,0.829102,-66.513062,-8.529663,44.075008
0.427734,-0.16333,0.833008,-65.071106,-4.371643,44.387814
0.447754,-0.172607,0.830566,-64.811707,-1.495361,45.928951
0.435547,-0.194092,0.829102,-64.277649,1.075745,49.690243
0.410889,-0.223877,0.839355,-62.622066,3.913879,52.169796
0.408203,-0.241455,0.849609,-60.928341,5.744934,52.742001
0.448242,-0.235596,0.849609,-59.852596,6.752014,53.535458
0.489502,-0.221436,0.82666,-59.249874,7.347106,56.15234
0.45459,-0.220459,0.805664,-57.762142,9.552002,60.256954
0.397461,-0.253662,0.785889,-55.473324,9.57489,61.43951
0.39917,-0.293213,0.766113,-54.153439,6.134033,60.050961
0.410889,-0.318115,0.743652,-52.604671,3.463745,60.539242
0.422119,-0.319824,0.734375,-49.682613,3.288269,61.935421
0.441162,-0.310303,0.720703,-46.859737,3.944397,63.117977
0.46582,-0.298096,0.714844,-44.960018,3.532409,65.52887
0.443359,-0.282471,0.712158,-43.601986,2.761841,69.763184
0.386963,-0.260254,0.728271,-42.816158,0.144958,72.845459
0.337402,-0.267822,0.756104,-44.128414,-4.501343,74.058533
0.295166,-0.297607,0.771973,-46.928402,-9.010315,74.546814
0.286133,-0.3125,0.764404,-50.392147,-13.97705,75.187683
0.302002,-0.302002,0.751221,-55.877682,-20.668028,76.164246
0.31665,-0.283691,0.721191,-63.606258,-29.411314,78.384399
0.352295,-0.287842,0.687988,-71.601868,-39.215088,79.490662
0.377441,-0.333252,0.662842,-76.332092,-43.762203,80.68084
0.331055,-0.358643,0.647705,-77.911377,-38.68866,81.893913
0.263672,-0.378418,0.633545,-79.139709,-35.003662,79.231262
