ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
0.297607,0.743896,0.445313,10.612487,42.396542,-6.095886,0.04541,1.824219,-0.035156,245.506271,9.635925,-153.541565
0.298584,0.687744,0.547852,9.017944,40.359493,-10.124206,-0.816162,0.72583,0.091797,249.992355,-61.546322,-181.304916
0.28125,0.85083,0.295654,9.742737,59.974667,-3.463745,-0.632813,1.799561,-0.484619,249.992355,-172.721848,16.647339
0.121094,0.997559,0.043457,5.752563,-33.607483,-5.226135,-0.888428,0.887695,0.104736,249.992355,-58.433529,-204.772934
0.397949,1.447021,-0.437988,154.960632,140.403748,31.448362,2.463135,-1.04248,2.3125,249.992355,151.832581,-206.932053
0.298828,0.944092,0.273438,249.992355,60.630795,181.25914,-0.723389,1.263428,0.205078,249.992355,-40.313717,-247.489914
0.233887,0.9375,0.246582,249.992355,83.854668,169.952377,-0.035889,1.553467,-0.256104,249.992355,55.313107,-118.812553
0.197998,0.978516,0.165527,237.480148,97.854607,149.520874,2.094727,-0.474121,1.585449,249.992355,146.652222,-198.570236
0.18042,1.028564,0.069824,217.330917,105.667107,124.244682,1.929688,-0.118896,1.294189,249.992355,164.115891,-199.78331
0.210205,1.095947,-0.01416,198.127731,111.846916,101.303093,2.147949,0.189453,1.160645,249.992355,155.670166,-237.609848
0.284668,1.156738,-0.087891,181.755051,115.730278,84.892265,1.797607,0.541992,0.915771,249.992355,144.203186,-249.992355
0.342285,1.216309,-0.125,170.242294,119.697563,71.746826,0.73999,0.81958,0.30249,249.992355,149.085999,-249.992355
0.336426,1.302246,-0.200195,160.819992,124.893181,60.447689,-0.066162,0.926514,-0.366211,249.992355,154.10614,-249.992355
0.352295,1.376465,-0.324463,153.831482,131.454468,47.355648,-0.280518,1.116943,-0.527588,249.992355,159.080505,-249.992355
0.35498,1.013916,0.239258,249.778732,32.302856,185.577377,-0.562744,1.45166,-0.413574,249.93132,169.395432,-249.992355
0.718018,2.117188,-0.48877,192.22258,205.940231,-3.372192,-0.841064,1.725098,-0.337402,249.816879,176.47551,-249.992355
0.817871,2.558838,-0.54126,229.553207,230.766281,-12.5885,-0.943604,1.907715,-0.262451,249.992355,181.076035,-249.992355
0.705322,2.689209,-0.588379,249.992355,231.849655,-39.482117,-1.086182,1.982422,-0.220947,248.352036,183.174118,-249.992355
0.633545,2.834961,-0.533691,249.992355,191.444382,-55.572506,-1.16748,1.927246,-0.198486,232.322678,170.41777,-249.992355
0.993408,3.491211,-0.365479,249.992355,133.743286,-38.528442,-1.123779,1.810791,-0.055908,222.450241,140.266418,-249.992355
1.269531,4.2854,-0.381104,249.992355,124.038689,-4.257202,-0.969727,1.696777,0.023682,218.292221,104.698174,-249.992355
0.712158,4.615479,-0.602051,249.877914,131.92749,24.108885,-0.835938,1.577637,0.076416,220.413193,67.619324,-249.992355
-0.185547,4.0979,-0.813477,249.992355,78.384399,35.087585,-0.874756,1.44751,0.09082,240.249619,23.582457,-249.992355
-0.445068,3.445068,-0.875977,249.992355,-14.564513,54.824825,-0.91748,1.312256,0.093506,249.992355,-26.954649,-249.992355
-0.178467,3.136963,-0.869873,244.76622,-64.38446,25.955198,-0.787109,1.314941,0.119629,249.992355,-63.789364,-249.992355
0.500732,1.563965,-0.481689,164.367661,152.694702,13.801574,-0.626465,1.426514,0.175537,249.992355,-72.20459,-249.992355
0.358154,1.114014,0.202881,249.992355,2.89917,190.864548,-0.63623,1.515381,0.244141,249.992355,-58.998104,-249.916061
0.607666,1.766846,-0.452148,176.620468,173.927292,0.37384,-0.706299,1.51709,0.230713,249.992355,-43.907162,-249.847397
0.268311,1.276123,0.259766,249.992355,-52.085873,202.217087,-0.716064,1.419922,0.216309,249.992355,-37.384033,-249.992355
-0.648193,2.199219,-0.862549,249.992355,-117.980949,-14.045714,-0.793213,1.080078,0.158203,249.992355,-50.10223,-228.752121
-2.072754,-3.109863,1.807617,227.691635,-65.307617,47.348019,0.882568,2.310791,-0.408203,249.992355,74.180603,-156.898499
-2.582275,-2.451416,1.272949,249.992355,3.02124,139.11438,-0.588379,2.11084,0.307129,204.223618,76.187134,-249.992355
-2.830078,-1.427734,1.179199,249.992355,25.947569,192.367538,-0.670654,7.999756,-6.303955,-240.844711,167.312607,118.888847
-2.466064,-0.510986,1.388184,249.992355,61.027523,228.996262,-0.944824,2.36792,0.447021,-249.992355,-249.992355,249.992355
-1.375488,0.083252,0.808838,249.992355,93.673698,243.972763,-0.590576,2.124268,0.779785,-249.992355,-249.992355,249.992355
-0.360596,0.42334,0.131104,249.992355,106.811516,249.992355,-0.590576,1.800293,0.675537,-249.992355,-249.259933,249.992355
0.056396,0.725098,-0.207275,249.992355,103.439323,249.992355,-0.229004,1.411621,0.537842,-249.992355,-249.992355,249.992355
0.12915,1.075195,-0.189697,249.992355,87.409966,249.992355,0.14917,1.033936,0.369141,-249.992355,-249.992355,249.992355
0.116943,1.358643,-0.029785,249.992355,65.895081,249.992355,0.508301,0.735352,0.302979,-249.610886,-216.468796,249.992355
0.096924,1.553223,0.013672,249.992355,46.791073,249.992355,0.900879,0.470215,0.42627,-249.595627,-147.666931,249.450668
0.075928,1.648193,-0.027588,249.992355,19.935608,249.862656,1.26709,0.269287,0.728271,-249.992355,-69.519043,249.992355
0.043213,1.621094,-0.08374,249.992355,-20.370481,249.992355,1.689941,0.155273,1.183105,-237.800583,6.286621,249.992355
0.033203,1.594727,-0.097412,249.992355,-67.878723,249.992355,2.742188,-0.201416,2.346436,-121.986382,196.876511,154.998779
0.018066,1.625244,-0.018555,249.992355,-109.886162,242.530807,-1.34082,2.621338,-0.082031,-249.992355,-248.451218,249.992355
0.088623,1.655762,0.062744,249.992355,-137.771606,232.566818,3.60791,-0.601807,2.680908,-57.228085,249.992355,85.250847
0.172363,1.609619,0.088135,249.992355,-145.256042,222.221359,3.523682,-1.347656,3.27124,189.048752,249.984726,-136.985779
0.16626,1.510742,0.105713,249.992355,-135.215759,215.766891,2.980713,-0.935059,2.411133,246.307358,249.992355,-245.605453
0.163086,1.421875,0.118896,249.992355,-117.912285,213.363632,2.61499,-0.483398,1.472168,245.89537,249.80925,-249.992355
0.167969,1.346436,0.246582,249.992355,-103.202812,210.990891,2.405029,-0.156982,1.001709,249.992355,249.114975,-249.992355
0.162354,1.302246,0.363037,249.992355,-93.376152,207.824692,2.498535,0.171875,0.781006,241.203293,249.992355,-249.992355
0.188477,1.300293,0.341797,249.992355,-84.480278,204.513535,2.616455,0.587402,0.89917,224.273666,246.971115,-249.992355
0.227539,1.292236,0.314697,249.992355,-72.319031,203.262314,1.865479,1.164307,0.73584,200.988754,184.165939,-249.992355
0.326416,1.214355,0.218018,249.992355,-26.130674,198.066696,0.730469,1.6521,0.493896,195.640549,133.529663,-249.992355
-1.606201,2.723877,-0.898926,249.992355,-182.449326,46.95892,-0.130615,1.912109,0.400879,199.501022,102.104179,-249.992355
-1.191406,-0.563965,0.501953,-249.992355,-105.613701,-190.093979,-0.703613,5.520996,-1.845215,77.575684,89.553825,-71.342468
0.92627,7.999756,-6.369873,-249.992355,-220.489487,-6.66809,4.074951,-1.157959,3.109131,43.846127,249.992355,13.572692
0.27002,1.980957,0.083984,-249.992355,93.299858,-249.992355,-1.46167,2.838135,-0.364502,-249.992355,-236.633286,249.992355
0.150635,2.549805,0.405762,-249.992355,128.372192,-223.449692,2.152832,0.021729,1.781738,-175.84227,85.678093,220.870956
0.038574,2.532715,0.647461,-249.992355,152.351379,-177.040085,-1.473633,2.868408,-0.169189,-249.992355,-225.791916,249.992355
0.023926,2.316406,0.685791,-249.992355,153.900146,-230.575546,-1.469238,2.925537,-0.291992,-249.992355,-232.284531,249.992355
-0.200928,1.635986,0.8125,-249.992355,124.465935,-249.992355,-2.304199,4.130371,-4.095703,-249.992355,202.17131,152.22168
-0.428223,0.930908,0.693604,-249.992355,87.425224,-249.992355,-1.659668,2.282715,-2.480957,-249.992355,129.646301,158.737183
-0.536133,0.463867,0.314209,-249.992355,59.585567,-249.870285,-0.887939,1.646973,-0.466553,-249.992355,128.417969,168.495163
-0.582031,0.042969,0.143555,-249.992355,37.574768,-249.389633,-0.471924,1.445068,0.159424,-249.992355,156.196594,162.666306
-0.808594,-0.332031,0.296631,-249.748215,25.55847,-249.992355,-0.47998,1.447021,-0.097412,-249.992355,182.929977,167.594894
-1.101318,-0.529053,0.449463,-249.992355,-0.946045,-242.103561,-0.611816,1.495605,-0.512939,-249.992355,201.827988,179.328903
-0.023926,2.439941,-0.051758,-249.992355,79.116821,-249.992355,-0.72876,1.510254,-0.687988,-249.992355,214.302048,196.121201
-1.732422,-0.620117,0.791016,-238.891586,-227.348312,-119.659416,-0.888916,1.512695,-0.497314,-249.992355,228.416428,235.725388
-1.658691,-1.93335,2.168457,-28.32794,-249.992355,-73.600769,-0.905273,1.554443,-0.017822,-249.992355,245.697006,249.992355
-0.621338,-2.72168,2.260986,168.273911,-249.992355,70.4422,-0.847412,1.618408,0.225342,-249.992355,249.488815,249.992355
-0.723633,-2.479004,1.772705,214.347824,-168.601974,88.050835,-1.446533,6.767334,-5.234863,-249.992355,249.992355,175.445541
-1.621582,-1.982178,1.361572,249.992355,-55.114742,49.911495,-0.91333,1.756836,0.140137,-249.992355,249.992355,249.992355
-2.317627,-1.486572,1.214111,249.992355,24.513243,128.128052,-0.854736,1.679688,0.230469,-249.992355,249.992355,249.992355
-2.626953,-0.510254,1.518799,249.992355,93.238823,200.332626,-1.317627,2.371338,0.330566,-249.992355,-181.968674,249.992355
-2.037842,0.366943,1.419922,249.992355,120.948784,230.041489,-1.250488,2.31958,0.422119,-249.992355,-158.218384,249.992355
-0.87915,0.946289,0.983643,249.992355,107.284538,249.389633,-1.196289,2.317383,0.477051,-249.992355,-126.892082,249.992355
-0.1604,1.273438,0.60791,249.992355,71.266174,249.992355,-1.207764,2.286865,0.383057,-249.992355,-78.239441,249.992355
0.472412,6.361084,-2.005615,40.855404,-226.440414,35.072327,-1.423096,2.601563,0.114502,-249.992355,-204.513535,249.992355
-2.31665,-1.016113,1.304688,-197.936996,-248.16893,-95.062248,-1.289551,2.113037,0.065186,-249.992355,82.290642,249.992355
0.141846,3.072998,0.030518,-249.992355,57.640072,-249.290451,-1.211182,1.987549,0.019775,-249.992355,164.573654,249.992355
0.029541,1.518066,0.552979,249.992355,32.249451,249.992355,-1.057129,1.865723,0.037354,-249.992355,228.370651,249.992355
