t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:01:22.740000,0.202881,0.993408,-0.127686,0.274658,-1.289368,0.0,1.021921655128709
0 days 00:01:22.750000,0.20166,0.994629,-0.126709,0.228882,-1.274109,0.022888,1.0227457034483205
0 days 00:01:22.760000,0.200195,0.993164,-0.12915,0.175476,-1.281738,-0.152588,1.021338578249642
0 days 00:01:22.770000,0.202637,0.992432,-0.128906,0.038147,-1.38092,-0.144958,1.0210777567007323
0 days 00:01:22.780000,0.20166,0.994873,-0.129883,-0.030518,-1.472473,-0.213623,1.0233809825368068
0 days 00:01:22.790000,0.201172,0.992432,-0.131104,-0.12207,-1.541138,-0.160217,1.0210679247846344
0 days 00:01:22.800000,0.199707,0.993896,-0.124756,0.198364,-1.594543,0.0,1.0214089309385346
0 days 00:01:22.810000,0.203857,1.001709,-0.05957,-13.046264,-0.465393,0.236511,1.0239761628231392
0 days 00:01:22.820000,0.199463,0.997803,-0.058838,-13.145446,-0.587463,0.648498,1.01924394794475
0 days 00:01:22.830000,0.201172,0.992676,-0.057617,-13.107299,-0.328064,0.999451,1.0144927467700298
0 days 00:01:22.840000,0.202148,0.991943,-0.060791,-13.320922,-0.595093,1.342773,1.0141549560269378
0 days 00:01:22.850000,0.204346,0.987793,-0.060547,-14.595031,-3.570556,1.312256,1.0105237442900588
0 days 00:01:22.860000,0.206787,0.994629,-0.052246,-13.885497,-1.88446,1.800537,1.0172400677942253
0 days 00:01:22.870000,0.201904,0.993896,-0.054443,-14.183043,-2.967834,1.846313,1.0156566960745153
0 days 00:01:22.880000,0.197998,0.990479,-0.060303,-14.465331,-3.448486,1.716614,1.0118736626941132
0 days 00:01:22.890000,0.202148,0.994629,-0.056885,-13.641356,-1.167297,1.564026,1.0165562280415186
0 days 00:01:22.900000,0.200928,0.997314,-0.062012,-12.855529,-0.541687,-0.320435,1.0192412687504366
0 days 00:01:22.910000,0.193604,0.986084,-0.08252,-11.474608,-2.761841,-1.76239,1.0082924745687631
0 days 00:01:22.920000,0.19751,1.000732,-0.071289,-13.069152,-2.883911,-1.13678,1.0225247466174106
0 days 00:01:22.930000,0.206299,1.006592,-0.07373,-13.076781,-2.807617,-1.274109,1.0301567088385144
0 days 00:01:22.940000,0.207764,1.003418,-0.075684,-13.107299,-2.372742,-1.350403,1.0274928857544463
0 days 00:01:22.950000,0.19751,0.997803,-0.074463,-13.09204,-2.822876,-1.327515,1.0198851725944444
0 days 00:01:22.960000,0.201172,0.991943,-0.076172,-13.053893,-2.815246,-1.296997,1.0149991440474224
