t,ax,ay,az,gx,gy,gz,acc_mag
1.0,-1.08252,0.039307,-0.239014,2.922058,-8.384705,5.828857,1.1092890889416518
1.01,-1.085938,0.049072,-0.217773,1.663208,-4.760742,4.776001,1.1086453357846233
1.02,-1.086426,0.059814,-0.198486,0.640869,-2.26593,4.188538,1.1060270612729148
1.03,-1.064697,0.0625,-0.201172,1.708984,-1.739502,3.601074,1.0853368718480911
1.04,-1.053223,0.061523,-0.213135,3.890991,-0.495911,4.112244,1.0763318705134584
1.05,-1.049805,0.061768,-0.221191,5.340576,1.350403,4.455566,1.0746307655795082
1.06,-1.048828,0.059814,-0.213135,6.340026,2.822876,3.807068,1.071934893734223
1.07,-1.036133,0.054932,-0.188965,6.050109,3.623962,2.609253,1.054654867498368
1.08,-1.019775,0.042969,-0.163818,5.393981,3.257751,1.594543,1.0337425804860707
1.09,-1.017334,0.031006,-0.183105,5.584716,0.717163,1.670837,1.0341456766901846
1.1,-1.018799,0.040771,-0.207031,5.134582,-1.800537,1.930237,1.0404208339912269
1.11,-1.027344,0.062256,-0.208496,4.455566,-2.983093,2.067566,1.0501343180222233
1.12,-1.057617,0.074219,-0.19751,3.684997,-3.662109,1.899719,1.078458334267022
1.13,-1.062012,0.077637,-0.197266,2.365112,-3.52478,0.556946,1.0829639267625677
1.14,-1.04248,0.08667,-0.209717,0.701904,-2.433777,-0.724792,1.0668914937279237
1.15,-0.991211,0.088867,-0.226807,0.686645,-2.128601,-2.204895,1.0207046612311517
1.16,-0.998535,0.074463,-0.225586,2.540588,-2.792358,-0.923157,1.0264043686530178
1.17,-1.083984,0.068848,-0.213867,2.593994,-3.349304,-0.083923,1.107023239615592
1.18,-1.106689,0.080566,-0.222656,1.708984,-1.075745,-2.166748,1.131736328573489
1.19,-1.069092,0.090088,-0.225586,1.937866,3.517151,-2.983093,1.096340547277168
1.2,-1.055664,0.086182,-0.203125,2.723694,5.66101,-2.365112,1.0784774377079012
1.21,-1.058838,0.068115,-0.164551,2.532959,4.676819,-2.89917,1.0737106663668754
1.22,-1.07251,0.047119,-0.132813,1.579285,3.387451,-4.585266,1.0817287983732338
1.23,-1.09082,0.035645,-0.160156,1.235962,3.128052,-5.798339,1.1030905596373308
1.24,-1.098145,0.033936,-0.192871,1.556396,5.493164,-5.561828,1.115469997696935
1.25,-1.072266,0.050293,-0.227295,0.228882,10.093688,-4.394531,1.097245085489108
