ax,ay,az,gx,gy,gz,acc_mag
-0.337891,-0.922119,-0.178467,0.892639,-0.465393,-1.777649,0.9981604320603978
-0.334961,-0.922852,-0.179199,0.930786,-0.732422,-2.029419,0.9979814462333456
-0.334473,-0.919922,-0.174072,0.923157,-1.098633,-1.998901,0.9941980361059863
-0.333008,-0.921387,-0.173096,0.968933,-1.51062,-2.006531,0.9948922338871683
-0.330078,-0.92334,-0.169922,0.892639,-1.419067,-2.212524,0.995179244039987
-0.318848,-0.920654,-0.180176,0.679016,-1.670837,-2.182007,0.9908235089035786
-0.302734,-0.921875,-0.183838,0.061035,-3.746032,-2.197266,0.9875716686018287
-0.30835,-0.922607,-0.185059,-1.13678,-7.980346,-2.441406,0.9902172652655578
-0.316162,-0.923828,-0.187988,-2.151489,-12.168883,-2.693176,0.9943621432717559
-0.318604,-0.921875,-0.183838,-2.433777,-14.709472,-2.655029,0.9925514770957726
-0.330078,-0.92627,-0.178467,-2.403259,-15.693664,-2.838135,0.9993888477829839
-0.333496,-0.927979,-0.174072,-2.26593,-15.319823,-3.15094,1.0013319467793886
-0.332764,-0.92334,-0.173828,-1.945495,-14.175414,-2.937317,0.9967471138057035
-0.337158,-0.921875,-0.169434,-1.594543,-12.474059,-3.051758,0.996110893899369
-0.342041,-0.923828,-0.163818,-1.068115,-10.368346,-3.044128,0.9986423565966948
-0.343262,-0.92334,-0.160645,-0.648498,-8.003235,-2.670288,0.9980943704224566
-0.34375,-0.921631,-0.166748,-0.335693,-5.828857,-2.250671,0.9976836463353501
-0.343506,-0.919189,-0.179443,-0.015259,-3.684997,-1.571655,0.9975492870059104
-0.335449,-0.918457,-0.183594,0.015259,-2.052307,-0.770569,0.9948849427376012
-0.331543,-0.922363,-0.181396,0.190735,-0.846863,-0.282288,0.9967842160839026
-0.329834,-0.923828,-0.177246,0.366211,-0.221252,-0.335693,0.9968273600057334
-0.329834,-0.923096,-0.178711,0.50354,0.183105,-0.587463,0.996410715665483
-0.327393,-0.924561,-0.17749,0.602722,0.328064,-0.816345,0.9967456642845254
-0.325195,-0.927002,-0.177979,0.411987,-0.244141,-1.167297,0.9983791967333854
-0.321777,-0.926514,-0.179443,0.228882,-1.266479,-1.594543,0.9970799467314544
-0.322266,-0.927979,-0.174805,-0.144958,-2.609253,-1.76239,0.9977761207916334
-0.323486,-0.923584,-0.168701,-0.411987,-4.074097,-1.800537,0.9930310290484381
-0.325195,-0.92041,-0.16333,-0.465393,-5.241394,-1.88446,0.989738877191858
-0.330322,-0.921143,-0.16748,-0.808716,-6.401062,-1.930237,0.9928074337619557
-0.33252,-0.917725,-0.174561,-1.060486,-7.278442,-2.037048,0.991594810770004
-0.332031,-0.918457,-0.178711,-1.251221,-7.835388,-2.075195,0.992847152048592
-0.333008,-0.920166,-0.177734,-1.228333,-7.911682,-1.701355,0.994579896426627
-0.337891,-0.922363,-0.173828,-0.869751,-6.752014,-1.571655,0.9975670429770623
-0.334961,-0.927246,-0.178223,-0.1297,-5.073547,-1.663208,1.0018719747382896
-0.320068,-0.92749,-0.193359,0.015259,-4.493713,-1.663208,1.0000344632086438
-0.299316,-0.933105,-0.199219,-1.167297,-7.019042,-1.197815,0.9999816092518902
-0.287598,-0.938232,-0.194824,-3.311157,-13.420104,-1.029968,1.000474030849377
-0.285156,-0.935303,-0.187988,-6.050109,-22.453306,-1.449585,0.9957133795872184
-0.287109,-0.931152,-0.192383,-8.659363,-32.066345,-1.907349,0.9932204406243359
-0.292969,-0.92627,-0.204346,-10.856627,-40.321346,-2.326965,0.9927558791450192
-0.293945,-0.923584,-0.216064,-12.992858,-46.646114,-2.6474,0.9930230209703096
-0.287842,-0.920898,-0.240967,-14.839171,-51.704403,-2.853393,0.9944703306067004
-0.256348,-0.926758,-0.26123,-16.738892,-57.167049,-2.670288,0.9964114614796439
-0.226074,-0.934326,-0.25708,-19.775391,-65.467834,-2.433777,0.9950701754911561
-0.228271,-0.944092,-0.249512,-24.147032,-76.713562,-3.15094,1.002832783692775
-0.238037,-0.950195,-0.25,-29.08325,-88.317863,-4.455566,1.0109560580925365
-0.26123,-0.953369,-0.233643,-33.39386,-99.342339,-4.852295,1.0157473182391377
-0.28418,-0.958252,-0.238525,-37.330627,-110.79406,-3.532409,1.0275696295283352
-0.296631,-0.958008,-0.238037,-42.060848,-123.626701,-0.167847,1.0307428833584058
-0.342041,-0.956055,-0.236572,-46.882626,-136.795044,4.020691,1.0425926912701815
-0.398926,-0.964844,-0.235596,-50.514217,-146.04187,8.247375,1.0703136797350579
-0.439209,-0.978027,-0.239746,-53.871151,-149.337769,15.129088,1.0985988817243535
-0.444092,-0.987061,-0.269043,-57.357784,-147.544861,25.016783,1.115298730400963
-0.445313,-1.005859,-0.30542,-61.759945,-144.02771,34.111023,1.141638021550614
-0.470459,-1.0271,-0.331055,-67.565918,-142.181396,41.618343,1.1772270357522374
-0.51416,-1.045898,-0.34668,-73.867798,-141.799927,51.208492,1.2159153565951866
-0.568848,-1.056885,-0.375732,-79.910278,-142.51709,63.613888,1.257683778281727
-0.593994,-1.060547,-0.403809,-85.96801,-144.287109,77.819824,1.280878807587197
-0.61377,-1.062256,-0.393066,-92.956535,-147.926331,91.972343,1.288255526979023
-0.678955,-1.061279,-0.398438,-99.136345,-151.817322,104.530327,1.3213802812627409
-0.759277,-1.060303,-0.415771,-103.286736,-152.404785,116.416924,1.36879857502081
-0.841064,-1.054688,-0.419434,-107.147209,-149.536133,129.920959,1.4126854957123332
-0.908203,-1.043457,-0.421631,-110.450737,-144.958496,144.599915,1.4461700799764183
-0.963867,-1.03418,-0.419678,-113.342278,-138.000488,157.951355,1.4746855562366508
-1.024658,-1.009521,-0.42041,-116.4627,-127.380363,168.762192,1.4985997579423933
-1.068604,-0.969971,-0.416016,-117.042534,-112.18261,178.207382,1.5019412644684214
-1.107178,-0.940186,-0.405029,-115.272514,-94.40612,187.202438,1.5079261683255583
-1.129639,-0.923096,-0.393555,-114.387505,-77.728271,196.556076,1.5109851202318307
-1.128906,-0.893555,-0.415527,-114.311211,-64.491272,205.70372,1.4985099207512775
-1.151855,-0.858154,-0.42749,-114.898674,-54.817196,211.898788,1.4986480336760197
-1.185059,-0.807129,-0.398682,-117.301933,-47.111507,216.079697,1.4882101307429674
-1.224121,-0.743652,-0.35083,-118.026726,-38.902283,222.71727,1.4746430783904967
-1.249268,-0.692871,-0.304443,-115.440361,-29.937742,230.506882,1.4606253108562786
-1.238037,-0.656738,-0.273438,-111.717216,-23.612974,237.304672,1.4278686052494467
-1.185791,-0.61377,-0.260498,-108.032219,-24.253843,243.278488,1.3603944709476734
-1.131104,-0.556641,-0.253662,-104.316704,-29.869078,248.680099,1.2859198544003434
-1.142334,-0.491455,-0.264404,-101.364128,-35.202026,249.992355,1.2713632288992
-1.133545,-0.425537,-0.292236,-98.281853,-33.52356,249.992355,1.2455552517210948
-1.094971,-0.35791,-0.311035,-95.191948,-25.3067,249.961838,1.1932325130359127
-1.087402,-0.296631,-0.260498,-93.612663,-17.158508,249.992355,1.1568458271390358
-1.099609,-0.237305,-0.172363,-92.544548,-11.100768,249.992355,1.1380521164142705
-1.093994,-0.196289,-0.110352,-89.49279,-6.072998,249.992355,1.1169287387568645
-1.080566,-0.166504,-0.076172,-85.449211,-3.204345,249.992355,1.0959692677972315
-1.086914,-0.144775,-0.10498,-81.192009,-2.510071,249.992355,1.1015274142848193
-1.054688,-0.120605,-0.172363,-76.454163,-1.686096,249.992355,1.0754633174302135
-1.012939,-0.083252,-0.256348,-72.685242,-0.549316,249.992355,1.0481844352636611
-1.006348,-0.039307,-0.342773,-70.43457,1.358032,249.992355,1.063848986878307
-0.994629,-0.005127,-0.419189,-69.107056,6.248474,249.992355,1.079366736327834
-0.9729,0.029785,-0.421143,-68.908691,14.373778,249.992355,1.0605578638971096
-0.945068,0.067383,-0.362061,-69.595337,23.002623,249.992355,1.0142889928585441
-0.903564,0.095703,-0.293701,-69.381714,31.692503,249.992355,0.9549069293423312
-0.888672,0.126709,-0.249512,-70.610046,40.870663,249.992355,0.9316916509280311
-0.877686,0.17041,-0.223877,-72.189331,51.528927,249.992355,0.9216795505082013
-0.820801,0.200928,-0.221436,-71.426392,62.667843,246.620163,0.8735675388205539
-0.749023,0.214844,-0.206055,-70.06073,68.885803,234.786972,0.8060099638900253
-0.714355,0.232178,-0.182861,-68.595886,65.834045,220.809921,0.7730768623041308
-0.667725,0.257568,-0.150635,-65.361023,54.588314,209.136948,0.7313609597688409
-0.610596,0.306641,-0.116943,-59.898373,36.994934,198.7686,0.6932040416399777
-0.586182,0.371094,-0.094482,-52.932735,14.541625,187.156662,0.7001763651281011
-0.580811,0.424805,-0.057129,-44.761654,-5.821228,178.642258,0.7218479260806946
-0.5979,0.459473,0.011963,-35.293579,-19.264221,171.30278,0.7541504896888949
-0.606445,0.474365,0.118164,-25.382994,-24.80316,161.781296,0.7789482795064124
