ax,ay,az,gx,gy,gz,acc_mag
-0.422119,0.937744,-0.040527,0.785828,1.449585,-0.732422,1.0291699069764915
-0.421875,0.936523,-0.040771,0.770569,1.106262,-0.816345,1.027966983708621
-0.42334,0.938477,-0.039551,0.823975,0.823975,-0.923157,1.0303009835625703
-0.42041,0.939697,-0.040771,0.907898,0.350952,-1.083374,1.0302607894848759
-0.42041,0.940674,-0.040039,1.060486,-0.12207,-1.38092,1.031123301985267
-0.418701,0.943359,-0.04126,1.335144,-0.938415,-1.556396,1.0329274504446089
-0.407227,0.947021,-0.043457,1.739502,-2.029419,-1.777649,1.0317805555538444
-0.397949,0.94873,-0.040283,2.487183,-4.165649,-2.098083,1.0295993102124728
-0.401855,0.945068,-0.030029,3.616333,-7.598876,-2.13623,1.027396080628109
-0.383301,0.943359,-0.03125,4.40979,-11.360168,-2.662658,1.018735697804882
-0.339355,0.94751,-0.056396,5.027771,-16.677856,-2.922058,1.0080265497202938
-0.279541,0.961426,-0.085693,7.011413,-27.381895,-2.89154,1.0049011963402175
-0.299561,0.969238,-0.090332,10.559081,-41.587826,-3.334045,1.01848856821714
-0.510742,0.970459,-0.081787,15.243529,-54.504391,-4.806519,1.0996986744622366
-0.606445,0.969971,-0.087646,19.020081,-55.572506,-12.96234,1.1473016604982318
-0.549316,0.970947,-0.083008,21.324156,-51.353451,-22.010801,1.1186493966963018
-0.522949,0.984131,-0.092285,24.765013,-57.090755,-30.555723,1.1182602572688523
-0.494141,1.009521,-0.106689,29.58679,-74.829102,-43.04504,1.129021930718354
-0.514893,1.024902,-0.115479,34.889221,-95.611565,-55.694576,1.1527681078577772
-0.567871,1.032471,-0.123291,39.726257,-112.449638,-66.978455,1.1847677026164243
-0.614258,1.036621,-0.126221,44.731136,-122.978203,-79.093933,1.2115394046608636
-0.674316,1.052246,-0.11792,50.239559,-129.997253,-93.719475,1.255320213639532
-0.794678,1.073975,-0.11499,56.52618,-134.109497,-106.056206,1.3409541843064587
-0.911377,1.094727,-0.125977,62.652584,-132.087708,-119.071953,1.4300019039102712
-0.992676,1.108887,-0.138184,69.221497,-128.089905,-134.83429,1.4947009191142555
-1.049561,1.140625,-0.154053,74.020386,-125.877373,-150.871277,1.5576700581814493
-1.057617,1.153809,-0.184814,77.926636,-122.924797,-164.031967,1.5760663506864172
-1.057861,1.160889,-0.213135,81.947319,-119.674675,-175.506577,1.5849793985623284
-1.127197,1.146973,-0.21167,86.997978,-115.173332,-183.998093,1.622012431653346
-1.190674,1.121826,-0.180664,89.179985,-104.423515,-195.320114,1.645854680537744
-1.250977,1.068848,-0.170654,88.98925,-86.029045,-204.086288,1.6542376761968034
